n_nodes,influence,communities,nodes
97.0,849.2,0.11067699518968044,"[2, 2564, 517, 7, 511, 538, 1052, 30, 60, 5181, 1089, 5191, 2634, 1117, 2665, 105, 1643, 3192, 1146, 3712, 4225, 4233, 1163, 144, 656, 145, 1687, 666, 1183, 160, 1195, 1709, 2735, 690, 699, 190, 1221, 207, 220, 733, 1246, 734, 229, 747, 1277, 255, 4355, 4356, 773, 1287, 775, 1806, 796, 286, 2856, 1853, 322, 2374, 2377, 331, 1362, 350, 877, 886, 1404, 1405, 1409, 902, 5515, 1421, 1425, 915, 408, 410, 934, 936, 428, 1457, 2993, 1463, 2489, 958, 959, 962, 469, 2013, 990, 483, 1510, 6129, 1011, 2550, 1527, 1018, 508, 1535, 2551]"
87.0,802.35,0.07752111971517794,"[2564, 517, 7, 1052, 29, 30, 31, 546, 5666, 1065, 2090, 1072, 58, 60, 5181, 1089, 579, 5191, 2634, 82, 2665, 3712, 4225, 145, 1687, 160, 1709, 690, 699, 190, 194, 1221, 220, 734, 229, 236, 1274, 1277, 255, 4355, 4356, 773, 775, 1806, 796, 286, 1853, 322, 2374, 1350, 2377, 331, 3934, 350, 877, 892, 1404, 902, 5515, 1425, 915, 408, 410, 934, 936, 430, 942, 2993, 1457, 439, 1463, 2489, 958, 962, 469, 1498, 2013, 5086, 990, 483, 1510, 6129, 502, 2550, 508, 4606, 511]"
76.0,752.59,0.0271942225467523,"[2, 2564, 517, 7, 538, 1052, 29, 30, 31, 2090, 1067, 58, 1082, 5181, 579, 2634, 82, 2665, 105, 1643, 1146, 3712, 4225, 144, 656, 145, 1687, 1183, 1709, 2735, 1200, 690, 699, 190, 196, 1221, 220, 733, 734, 230, 747, 1274, 255, 4355, 4356, 773, 1287, 775, 796, 286, 3885, 1853, 322, 1350, 2377, 3934, 877, 1404, 902, 5515, 1421, 915, 408, 936, 942, 1457, 2993, 439, 958, 469, 2013, 990, 483, 1510, 6129, 1018]"
90.0,825.91,0.157749489567242,"[517, 7, 534, 538, 1052, 29, 30, 2564, 1065, 1067, 1535, 1072, 59, 60, 5181, 1089, 5191, 2634, 1117, 2665, 105, 1643, 3192, 1146, 3712, 4225, 4233, 1163, 656, 145, 1687, 666, 1183, 160, 1195, 1709, 2735, 690, 699, 190, 1221, 207, 220, 229, 747, 1277, 255, 4355, 4356, 773, 775, 1806, 796, 286, 2856, 1853, 322, 2374, 2377, 331, 1362, 350, 877, 2180, 1404, 1405, 1200, 902, 1421, 1425, 408, 410, 934, 942, 2993, 958, 469, 2013, 990, 483, 1018, 511, 3885, 955, 959, 962, 1011, 502, 4606, 579]"
95.0,829.08,0.04963951985921278,"[517, 538, 1052, 30, 1065, 1067, 1072, 59, 60, 5181, 1089, 5191, 2634, 1117, 105, 2665, 1146, 3712, 4225, 4233, 1163, 656, 145, 1687, 666, 1183, 160, 1709, 2735, 1200, 690, 699, 190, 1221, 207, 720, 220, 734, 229, 230, 1269, 1274, 255, 768, 4356, 773, 775, 1287, 1806, 796, 286, 3885, 1853, 2370, 322, 1350, 2374, 2377, 331, 1362, 3934, 350, 877, 1404, 902, 5515, 1425, 915, 3988, 408, 410, 934, 942, 430, 2993, 1457, 439, 1463, 2489, 955, 958, 959, 962, 469, 1498, 2013, 482, 483, 1510, 6129, 1011, 502, 2550, 508, 6366]"
11.999999999999998,191.02,0.057499005608725784,"[2, 322, 4356, 517, 902, 775, 2374, 1421, 4429, 144, 408, 2682]"
79.0,754.14,0.011513808656393176,"[3712, 4225, 2564, 517, 2374, 7, 775, 58, 286, 796, 2013, 1082, 408, 1018, 699, 1052, 30, 1084, 59, 5181, 5191, 2634, 1643, 31, 1146, 6797, 656, 144, 1687, 1183, 160, 1709, 2735, 1200, 690, 190, 196, 1221, 733, 734, 229, 230, 747, 5870, 1274, 255, 4355, 5760, 773, 1287, 3885, 1853, 322, 1350, 2377, 1362, 3934, 877, 1404, 892, 902, 5515, 1421, 915, 936, 942, 1457, 2993, 439, 1470, 958, 1995, 469, 990, 483, 1510, 6129, 508, 1535]"
24.0,403.56,0.11071381705476624,"[3712, 2564, 517, 7, 775, 1687, 408, 796, 1052, 29, 30, 160, 31, 546, 286, 2090, 699, 2374, 2377, 2013, 1146, 1404, 255, 5927]"
60.00000000000001,625.79,0.007942550230720768,"[3712, 2, 4356, 517, 902, 5515, 6797, 656, 408, 1052, 30, 1183, 160, 286, 31, 1065, 2090, 3885, 942, 1200, 1457, 2993, 439, 1463, 2489, 1082, 699, 1084, 59, 190, 5181, 958, 322, 58, 196, 1221, 2374, 5191, 1350, 2377, 955, 962, 1362, 469, 728, 959, 2013, 990, 482, 483, 1380, 1853, 6895, 6129, 1011, 2364, 502, 2550, 1146, 508]"
2.000000000000001,44.82,0.6270215770226848,"[517, 286]"
