spread-min,spread-max,spread-1q,spread-3q,spread-median,spread-mean,seed-min,seed-max,seed-1q,seed-3q,seed-median,seed-mean,communities-min,communities-max,communities-1q,communities-3q,communities-median,communities-mean,fairness-min,fairness-max,fairness-1q,fairness-3q,fairness-median,fairness-mean,budget-min,budget-max,budget-1q,budget-3q,budget-median,budget-mean,time-min,time-max,time-1q,time-3q,time-median,time-mean
0.0040008491367110105,0.11717237475233513,0.054231885083498445,0.10049992923860741,0.08194169261251061,0.07624887253514483,0.07,1.0,0.2925,0.74,0.53,0.5204666666666666,0.49402913748332644,0.9631108046965333,0.9258744189166819,0.9523714800109389,0.9427769269590934,0.9271221904807976,0.1674453888423022,0.9619485195814144,0.8424833062129584,0.9003174516447412,0.8813416364146196,0.844138489242922,-0.1163474643138942,0.977835162470411,0.1135499605480238,0.6202926619324295,0.36245606484470266,0.3756679339119623,0.19999999999999996,0.4,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.20133333333333325
0.0040008491367110105,0.11717237475233513,0.05251769034814605,0.0990730257571469,0.08156241154825927,0.07533212706141393,0.07,1.0,0.31,0.755,0.54,0.5305521472392638,0.49402913748332644,0.9645012312028198,0.9251748608235082,0.9523642021108798,0.9423954443119256,0.9272712360278398,0.1674453888423022,0.9619485195814144,0.8381156852243576,0.9009155806082937,0.8814541539197656,0.8428066046974982,-0.1163474643138942,0.977835162470411,0.1283803170504268,0.6462951007818665,0.376120794777993,0.38662650618315664,0.19999999999999996,0.4,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.20122699386503062
0.0040008491367110105,0.11717237475233513,0.05191091140673648,0.09916855363713557,0.08049179167846024,0.07450591289099984,0.07,1.0,0.31,0.76,0.54,0.5389634146341464,0.49402913748332644,0.9645012312028198,0.924716731894659,0.9530974821545096,0.9421610200859643,0.9268866639246417,0.1674453888423022,0.9761244713422488,0.8375374776423794,0.9042593179079477,0.8818524718068115,0.8430569092986815,-0.1163474643138942,0.977835162470411,0.13626174592927334,0.6584176171006384,0.38553547091313395,0.396201282058011,0.19999999999999996,0.4,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.20121951219512185
0.0040008491367110105,0.11717237475233513,0.05154790546277951,0.0992145485423153,0.08049179167846024,0.07417284926990893,0.07,1.0,0.32,0.7675000000000001,0.54,0.5426470588235294,0.49402913748332644,0.9645012312028198,0.9246656343131191,0.9523917857064063,0.9417861918939766,0.9264637306095667,0.1674453888423022,0.9656699607247395,0.8291911998176236,0.902333749909938,0.8809091634837698,0.8399332006921741,-0.1163474643138942,0.977835162470411,0.15353095186858903,0.6709794849723836,0.38553547091313395,0.40059599910547394,0.19999999999999996,0.4,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.20117647058823523
0.0040008491367110105,0.11717945089159355,0.05178354090008491,0.10022785168412113,0.08235564675912821,0.07519198814538552,0.07,1.0,0.31,0.7775000000000001,0.53,0.533,0.49402913748332644,0.9645012312028198,0.9240329962917726,0.9533832501236952,0.9431189641636242,0.9257669138733033,0.1674453888423022,0.9656699607247395,0.824816106931286,0.9015295848449671,0.877710078069309,0.8365952475416494,-0.1163474643138942,0.977835162470411,0.13139301341367193,0.6700200846424216,0.36304784448748295,0.3893245484120052,0.19999999999999996,0.4,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.20117647058823523
0.0040008491367110105,0.11717945089159355,0.05661689782054911,0.10042138409283893,0.08313402207755449,0.07636873103430118,0.07,1.0,0.3075,0.7424999999999999,0.52,0.5255813953488372,0.49402913748332644,0.9653185585608343,0.9247461717901205,0.9535384825612575,0.9431189641636242,0.9264761425549858,0.1674453888423022,0.9638025946133438,0.8348376366193941,0.9011087168807819,0.8772365372698061,0.8375947785938109,-0.1163474643138942,0.977835162470411,0.12937558281328457,0.6078473567175956,0.35381249551682087,0.37994213154106254,0.19999999999999996,0.4,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.20116279069767434
0.0040008491367110105,0.11717945089159355,0.057374752335125956,0.10022785168412113,0.08359821681290688,0.07681007642230399,0.07,1.0,0.31,0.7375,0.515,0.5231764705882352,0.49402913748332644,0.9653185585608343,0.925699726248689,0.9535991073398459,0.9442837973044735,0.9271523481252938,0.1674453888423022,0.9638025946133438,0.8356239875333015,0.9015295848449671,0.877710078069309,0.8397158299180235,-0.1163474643138942,0.977835162470411,0.13231654831073814,0.5953034215622983,0.35128398249766873,0.3753273248184576,0.19999999999999996,0.4,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.20117647058823523
0.0040008491367110105,0.11717945089159355,0.061722332295499574,0.10136144919332013,0.08822954995754316,0.07880812941186562,0.07,1.0,0.29,0.73,0.46,0.5067878787878788,0.49402913748332644,0.9654032839215075,0.927914882000552,0.9541327342986783,0.9445077515795546,0.9291410538820066,0.1674453888423022,0.9638025946133438,0.8405328780622386,0.9016569252678388,0.8812291189094735,0.8432523380799828,-0.1163474643138942,0.977835162470411,0.11505630872964634,0.5487769887382541,0.2948855892690625,0.35517712089694004,0.19999999999999996,0.4,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.20121212121212115
0.0040008491367110105,0.11717945089159355,0.06081375601471837,0.10247240305689216,0.08822954995754316,0.07815416490129445,0.07,1.0,0.29,0.73,0.46,0.5118012422360249,0.49402913748332644,0.9654032839215075,0.9272285945772337,0.9548049308117819,0.9465721199316226,0.9291877988727938,0.1674453888423022,0.9761244713422488,0.8490086892931756,0.9068998592576837,0.8825059109221275,0.8473322078480028,-0.1163474643138942,0.977835162470411,0.1239868015206943,0.5615092174162541,0.300695789398178,0.3612128040932038,0.19999999999999996,0.4,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.20124223602484467
0.0040008491367110105,0.11717945089159355,0.06557175205208038,0.10288281913388056,0.08975799603736202,0.0805974953071739,0.07,1.0,0.28,0.69,0.45,0.4932515337423313,0.49402913748332644,0.9654032839215075,0.9317209967340454,0.9551850391173538,0.948206485812312,0.9324869340651967,0.1674453888423022,0.9761244713422488,0.8527753463927477,0.9065052699408321,0.8828819437225834,0.8571384301853181,-0.1163474643138942,0.977835162470411,0.1125457284269421,0.5166953590129832,0.28466394089376656,0.33903659726375346,0.19999999999999996,0.4,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.20122699386503062
0.0040008491367110105,0.11717945089159355,0.06779507500707614,0.10318709312199265,0.08975799603736202,0.08232955294622311,0.07,1.0,0.28,0.67,0.45,0.48074534161490684,0.49402913748332644,0.9654032839215075,0.9347104369980022,0.9557332852957661,0.9491490943017759,0.9345280501345452,0.1674453888423022,0.9761244713422488,0.8602079970271004,0.9123781129016768,0.8842434858755099,0.8608575114050013,-0.1163474643138942,0.977835162470411,0.09888099849365184,0.502402984004017,0.28466394089376656,0.3234193257209509,0.19999999999999996,0.4,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.20124223602484467
0.0040008491367110105,0.11717945089159355,0.06558802717237475,0.10352604019247098,0.0899242853099349,0.0819430105434475,0.07,1.0,0.27,0.69,0.44,0.48243749999999996,0.49402913748332644,0.9654032839215075,0.9356571556082356,0.9558043765685006,0.9493896632664227,0.9343984628411995,0.1674453888423022,0.9761244713422488,0.8602526144514631,0.9123305457568183,0.884741340345506,0.8605453884999623,-0.1163474643138942,0.977835162470411,0.0920575998852306,0.5160049494297396,0.270407431317696,0.32563683559285556,0.19999999999999996,0.4,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.20124999999999993
