heuristic,model,graph,seed,k,spread,community,fairness,budget,time
CELF,WC,wiki-vote_di,0,16,0.04704112652136995,0.04270259675253336,0.03964348042584062,0.0408058975588015,0.009408225304273987
CELF,WC,wiki-vote_di,0,17,0.04704112652136995,0.0429197788415267,0.03966051950691929,0.0408058975588015,0.009408225304273987
CELF,WC,wiki-vote_di,0,18,0.05009088593263515,0.045694855266487824,0.04220097054029072,0.042976671724068306,0.009408225304273987
CELF,WC,wiki-vote_di,0,19,0.05199494763656949,0.04742430392940761,0.04376386653359993,0.04429186878152729,0.010391551089725443
CELF,WC,wiki-vote_di,0,20,0.0532448768751769,0.04858171481294127,0.04478018111532108,0.045143714251436845,0.010641536937446924
CELF,WC,wiki-vote_di,0,21,0.0540778092272856,0.049335359735067565,0.04545411732147325,0.0457085321260986,0.010808123407868664
CELF,WC,wiki-vote_di,0,22,0.0540778092272856,0.049335359735067565,0.04545411732147325,0.0457085321260986,0.010808123407868664
CELF,WC,wiki-vote_di,0,23,0.05591944523068214,0.05099579256111393,0.04691463178443772,0.046933317163433866,0.011176450608547972
CELF,WC,wiki-vote_di,0,24,0.057046645909991506,0.052032955404018755,0.04780244402717672,0.04767617321688447,0.01140189074440985
CELF,WC,wiki-vote_di,0,25,0.057584786300594396,0.052545034637092786,0.04822152248836968,0.04802383561039748,0.011509518822530427
CELF,WC,wiki-vote_di,0,26,0.05869698556467591,0.05355922061932089,0.04908076856414352,0.04873745890981712,0.011731958675346729
CELF,WC,wiki-vote_di,0,27,0.05972390319841496,0.05467907350957858,0.05014879382264377,0.04938512932762435,0.011937342202094536
CELF,WC,wiki-vote_di,0,28,0.06027821964336259,0.055476637047507806,0.05153579087004163,0.04973020036036792,0.012048205491084063
CELF,WC,wiki-vote_di,0,29,0.06054851401075574,0.055797892452876516,0.05176710241386948,0.0498961073183898,0.012102264364562692
CELF,WC,wiki-vote_di,0,30,0.06293996603453156,0.05799728974295526,0.05379537973564968,0.0513380803269157,0.012580554769317858
CELF,WC,wiki-vote_di,0,31,0.06357860175488254,0.058596682469573766,0.05435719082100122,0.05171573708601286,0.012708281913388053
