heuristic,model,graph,seed,k,influence,seed_set,n_nodes,community,fairness,budget,time
CELF,WC,gnutella_di,1,46,0.30380377837752026,0.54,0.007461501825686617,0.9078520469573976,0.6172790687206905,0.5937266616878267,0.0
CELF,WC,gnutella_di,1,47,0.30802667090014285,0.53,0.007620257183679949,0.9086553989681729,0.6171369747230927,0.5862584017923824,0.0
CELF,WC,gnutella_di,1,48,0.31319574535640576,0.52,0.007779012541673282,0.9085810583089431,0.614932935357096,0.578790141896938,0.0
CELF,WC,gnutella_di,1,49,0.3097110652484521,0.51,0.007937767899666614,0.9089023219210672,0.6151586550529571,0.5713218820014936,0.0
CELF,WC,gnutella_di,1,50,0.3140593745038895,0.5,0.008096523257659947,0.9072300158348197,0.6216773124626589,0.5638536221060493,0.0
CELF,WC,gnutella_di,1,51,0.31351801873313223,0.49,0.008255278615653278,0.9097809461095318,0.6235425273277588,0.556385362210605,0.0
CELF,WC,gnutella_di,1,52,0.3181235116685188,0.48,0.00841403397364661,0.9112683379791002,0.6236397351878582,0.549663928304705,0.0
CELF,WC,gnutella_di,1,53,0.3241451023972059,0.47,0.008572789331639942,0.9107598589340345,0.6242145249929647,0.5421956684092606,0.0
CELF,WC,gnutella_di,1,54,0.3291220828702969,0.46,0.008731544689633275,0.9143802326945699,0.6236333000368401,0.5347274085138163,0.0
CELF,WC,gnutella_di,1,55,0.3298317193205271,0.45,0.008890300047626608,0.9141672173296009,0.6217177547891786,0.527259148618372,0.0
CELF,WC,gnutella_di,1,56,0.3325734243530719,0.44,0.009049055405619939,0.9131417851174676,0.6453173435441126,0.5227781926811053,0.0
CELF,WC,gnutella_di,1,57,0.33708366407366247,0.43,0.009207810763613272,0.9155000517441606,0.6517627186494999,0.515309932785661,0.0
CELF,WC,gnutella_di,1,58,0.33580409588823623,0.42,0.009366566121606605,0.9169192475134689,0.6841737703105946,0.5078416728902166,0.0
CELF,WC,gnutella_di,1,59,0.34108112398793455,0.41,0.009525321479599936,0.9147862885783352,0.6824384769238288,0.5003734129947722,0.0
CELF,WC,gnutella_di,1,60,0.34114938879187173,0.4,0.009684076837593269,0.9140736761900525,0.6826735154130971,0.4929051530993278,0.0
