heuristic,model,graph,seed,k,influence,seed_set,n_nodes,community,fairness,budget,time
CELF,IC,lastfm_un,0,23,0.05334863588667366,0.77,0.0031479538300104933,0.45506273922050544,0.3459704347369005,0.7397099176793414,0.0
CELF,IC,lastfm_un,0,24,0.05442418677859392,0.76,0.003279118572927597,0.4580759335528587,0.3469606967644633,0.7365738925911407,0.0
CELF,IC,lastfm_un,0,25,0.05490293809024134,0.75,0.003410283315844701,0.4603618634522957,0.34740114866651584,0.7331765320789233,0.0
CELF,IC,lastfm_un,0,26,0.05358342077649528,0.74,0.003541448058761805,0.45827646897605223,0.3474647904961137,0.7271658173265386,0.0
CELF,IC,lastfm_un,0,27,0.05654774396642183,0.73,0.0036726128016789086,0.46764006196263597,0.36875257533781114,0.7220697765582125,0.0
CELF,IC,lastfm_un,0,28,0.055655823714585516,0.72,0.0038037775445960128,0.46790917663096954,0.36813833354692316,0.7126617012936103,0.0
CELF,IC,lastfm_un,0,29,0.05761149003147954,0.71,0.003934942287513116,0.47105921554897234,0.36905549255122694,0.6899255194041553,0.0
CELF,IC,lastfm_un,0,30,0.058794596012591814,0.7,0.00406610703043022,0.46874431157005114,0.3645393167334837,0.6871814974519797,0.0
CELF,IC,lastfm_un,0,31,0.05819648478488982,0.69,0.004197271773347324,0.46960982945121166,0.35971995207135443,0.6852214817718542,0.0
CELF,IC,lastfm_un,0,32,0.05909627492130116,0.68,0.0043284365162644285,0.47160358564884897,0.35985835696558743,0.6823467921076702,0.0
CELF,IC,lastfm_un,0,33,0.060014428121720885,0.67,0.004459601259181532,0.470083834543332,0.36028143377050503,0.6788187638834444,0.0
CELF,IC,lastfm_un,0,34,0.060398740818468,0.66,0.004590766002098636,0.47000785582340565,0.36042619502874185,0.6730693845550764,0.0
CELF,IC,lastfm_un,0,35,0.060099685204617,0.65,0.00472193074501574,0.47306349910848966,0.36015590113176654,0.6674506729387168,0.0
CELF,IC,lastfm_un,0,36,0.060960125918153196,0.64,0.004853095487932843,0.4741150578014316,0.3560483197683896,0.6647066509865412,0.0
CELF,IC,lastfm_un,0,37,0.061113588667366214,0.63,0.004984260230849948,0.4690548187589937,0.35618489898523553,0.651639879785705,0.0
CELF,IC,lastfm_un,0,38,0.06233210912906611,0.62,0.005115424973767052,0.47421232861060236,0.3576208607960185,0.6471971775774206,0.0
CELF,IC,lastfm_un,0,39,0.06205403987408185,0.61,0.005246589716684155,0.47874225940587256,0.35761839433889575,0.6447144910492617,0.0
CELF,IC,lastfm_un,0,40,0.0630574501573977,0.6,0.005377754459601259,0.4773001399158403,0.3572630202063217,0.6384424408728604,0.0
CELF,IC,lastfm_un,0,41,0.06383525708289611,0.59,0.005508919202518363,0.47244505518558844,0.3584046124859974,0.6353064157846596,0.0
CELF,IC,lastfm_un,0,42,0.06353095487932844,0.58,0.005640083945435467,0.47718060897965375,0.3591778041531227,0.6330850646805175,0.0
CELF,IC,lastfm_un,0,43,0.06349816369359916,0.57,0.005771248688352571,0.4805009803439667,0.36020597873043725,0.6269436822161244,0.0
CELF,IC,lastfm_un,0,44,0.06458027282266526,0.56,0.005902413431269675,0.4759843054884857,0.3605864366982212,0.6159675944074219,0.0
CELF,IC,lastfm_un,0,45,0.06610309548793285,0.55,0.006033578174186778,0.48656940921830905,0.37948664744641125,0.6090422056709788,0.0
CELF,IC,lastfm_un,0,46,0.06714585519412382,0.54,0.006164742917103882,0.4846810894952116,0.3799077290264249,0.6056448451587613,0.0
CELF,IC,lastfm_un,0,47,0.06661857292759706,0.53,0.0062959076600209865,0.48521025662548845,0.37915815199931546,0.6017248137985104,0.0
CELF,IC,lastfm_un,0,48,0.06782266526757608,0.52,0.00642707240293809,0.48784870138916425,0.39578551074074075,0.5947994250620672,0.0
CELF,IC,lastfm_un,0,49,0.06934024134312697,0.51,0.006558237145855194,0.4993808404497935,0.4017477765475249,0.5881353717496407,0.0
CELF,IC,lastfm_un,0,50,0.06889428121720881,0.5,0.006689401888772298,0.48748936682319177,0.40190266027204946,0.5826473278452895,0.0
CELF,IC,lastfm_un,0,51,0.0690582371458552,0.49,0.006820566631689402,0.49142962602000895,0.398024150814026,0.5810793153011891,0.0
CELF,IC,lastfm_un,0,52,0.0694923924449108,0.48,0.006951731374606506,0.4952809544402115,0.39703688256729663,0.5774206193649549,0.0
CELF,IC,lastfm_un,0,53,0.070851259181532,0.47,0.00708289611752361,0.4934860762913851,0.39704082733544577,0.5704952306285117,0.0
CELF,IC,lastfm_un,0,54,0.06934679958027283,0.46,0.007214060860440714,0.4961084603663036,0.3971738485752032,0.5660525284202274,0.0
CELF,IC,lastfm_un,0,55,0.07009706190975865,0.45,0.007345225603357817,0.4979710678654189,0.3971673340668621,0.564484515876127,0.0
CELF,IC,lastfm_un,0,56,0.07089323189926548,0.44,0.007476390346274921,0.5010475637301504,0.3978985325323243,0.5618711616359597,0.0
CELF,IC,lastfm_un,0,57,0.07079748163693599,0.43,0.0076075550891920255,0.4936270078900855,0.39779590316852764,0.5604338168038678,0.0
