heuristic,model,graph,seed,k,spread,community,fairness,budget,time
CELF,WC,lastfm_un,0,50,0.1693017051416579,0.1101625388669453,0.07804347142099584,0.13285054782232592,0.005041109653725078
CELF,WC,lastfm_un,0,51,0.1704033053515215,0.11089372144332069,0.07857614370110877,0.13334787288767005,0.005041109653725078
CELF,WC,lastfm_un,0,52,0.17073761804826862,0.1111267448138577,0.07873550966507975,0.13349757752790947,0.005041109653725078
CELF,WC,lastfm_un,0,53,0.1718454223504722,0.11186679212699355,0.07926323997325185,0.13398496509951793,0.005041109653725078
CELF,WC,lastfm_un,0,54,0.1724493835257083,0.11226990025856863,0.07969598560456903,0.1342478417066931,0.005041109653725078
CELF,WC,lastfm_un,0,55,0.17353837880377757,0.11314575708187743,0.08021771620124961,0.13471343592462626,0.005041109653725078
CELF,WC,lastfm_un,0,56,0.1737865424973767,0.11450658422509205,0.08279577320010098,0.1348183696385276,0.005041109653725078
CELF,WC,lastfm_un,0,57,0.17426030954879326,0.1148256641035666,0.08307726716914562,0.1350165309258116,0.005041109653725078
CELF,WC,lastfm_un,0,58,0.17548879853095486,0.11566195236915874,0.08369527051641779,0.1355197731784023,0.005041109653725078
CELF,WC,lastfm_un,0,59,0.17548879853095486,0.11566386538262072,0.08369566216807503,0.1355197731784023,0.005041109653725078
CELF,WC,lastfm_un,0,60,0.1765664480587618,0.1167616650789474,0.08423724911513947,0.135950382384731,0.005041109653725078
CELF,WC,lastfm_un,0,61,0.1765664480587618,0.1167616650789474,0.08423758075034028,0.135950382384731,0.005041109653725078
CELF,WC,lastfm_un,0,62,0.17790372507869887,0.11767663316350416,0.0849095880123384,0.1364641148345696,0.005041109653725078
CELF,WC,lastfm_un,0,63,0.17854627492130118,0.11831907434422825,0.08523278828693111,0.13670852390183935,0.005041109653725078
CELF,WC,lastfm_un,0,64,0.17941558237145858,0.11969926686945682,0.08760589097653222,0.13703384685195708,0.005041109653725078
CELF,WC,lastfm_un,0,65,0.17953907397691501,0.12023315159901535,0.08783130527020687,0.13707965799371724,0.005041109653725078
CELF,WC,lastfm_un,0,66,0.17953907397691501,0.12023315159901535,0.08807437031971868,0.13707965799371724,0.005041109653725078
CELF,WC,lastfm_un,0,67,0.1805441369359916,0.12094303150397062,0.08861117806289132,0.1374408135062562,0.005041109653725078
CELF,WC,lastfm_un,0,68,0.18107761017838406,0.12131976445407203,0.08889611803780398,0.13762693314001917,0.005041109653725078
CELF,WC,lastfm_un,0,69,0.1811613719832109,0.12137888548664054,0.08903346071010733,0.1376558716232234,0.005041109653725078
CELF,WC,lastfm_un,0,70,0.1823737277019937,0.1223015694998595,0.08968380623817282,0.1380693367252779,0.005041109653725078
CELF,WC,lastfm_un,0,71,0.18297624606505772,0.12272538379756916,0.0900846426956062,0.1382714358547677,0.005041109653725078
CELF,WC,lastfm_un,0,72,0.1838797088142707,0.12355738387825088,0.09069643562269,0.1385659791135272,0.005041109653725078
CELF,WC,lastfm_un,0,73,0.1838797088142707,0.12355738387825088,0.09075568709051256,0.1385659791135272,0.005041109653725078
CELF,WC,lastfm_un,0,74,0.18430121983210915,0.12398291759691743,0.09098813632355801,0.1386991574280618,0.005041109653725078
CELF,WC,lastfm_un,0,75,0.18430121983210915,0.12398291759691743,0.09101852595437238,0.1386991574280618,0.005041109653725078
CELF,WC,lastfm_un,0,76,0.18447719045120672,0.12410698382517481,0.09113190203222711,0.13875337652120592,0.005041109653725078
CELF,WC,lastfm_un,0,77,0.18510196747114374,0.12455265037702407,0.09147010896909707,0.1389415525346588,0.005041109653725078
